feature,rf_importance,et_importance,xgb_importance,mean_importance
Route_of_administration__intravenous,0.0008639357579436806,0.0016228778665886938,0.0019939877,0.0014936004446054012
IL_fp_1804,0.0020794337356088597,0.001978605975234033,0.00041343452,0.0014904914108678946
IL_fp_1235,0.0004378704219546477,1.7931116194861646e-05,0.003985155,0.0014803188154333144
IL_fp_984,0.0012659571955268537,0.0019138404135432257,0.0012593488,0.0014797154766550118
IL_fp_1505,0.0013564294185985143,0.0014702375990525223,0.0015948728,0.0014738466045425783
IL_fp_209,0.000626098733143141,0.0024009055595747724,0.0013716908,0.0014662316877763603
IL_fp_1905,0.0016976526716664686,0.0023153630379953325,0.00036692768,0.0014599811290648198
IL_fp_1207,0.0013354973113750663,0.0020831507461504884,0.00094627845,0.0014549755028453798
IL_fp_90,0.0020533634762483484,0.0019413767644305539,0.00034595773,0.0014468993226944046
IL_fp_934,0.0010286009937660746,0.001398137978081423,0.0019110494,0.0014459294437751847
IL_fp_1308,0.00029491910999071634,0.00029667939279745455,0.0037302459,0.001440614789556538
IL_fp_1669,0.0016759358790142292,0.0021533665680955353,0.0004897126,0.001439671674497209
IL_fp_1539,0.0022007187494289663,0.0015038562084216957,0.0005621581,0.0014222443600145768
IL_fp_668,0.00211218416411981,0.0017233877808300328,0.00043045176,0.001422007903069777
IL_fp_1670,0.00124426211009709,0.0016448076770798638,0.001371586,0.001420218594666159
IL_fp_716,0.0007969137241256745,1.7481487755387306e-05,0.003425179,0.0014131914204179117
IL_fp_1745,0.0016996524838673545,0.0010908443614432081,0.0013797223,0.0013900730363248567
IL_fp_820,0.0017625179015750537,0.0005106222902936953,0.0018745741,0.00138257143423733
IL_fp_637,0.0013071940986852779,0.0022732416665538825,0.0005118498,0.0013640951960604425
IL_fp_273,0.0020571873452988297,0.0014221354803552134,0.0005549161,0.0013447463084330803
IL_fp_1961,0.0008176597839963444,0.0027392837550359772,0.0004339746,0.0013303060491152048
IL_fp_1823,0.0002079478384576101,0.0003754230554026324,0.0033948326,0.0013260678318770004
IL_fp_1995,0.0007705174971284845,0.0018151829734780614,0.0013586762,0.0013147922355764641
IL_fp_226,0.001681030581997805,0.0016228377222943595,0.00061401166,0.0013059599881701342
IL_fp_1791,0.0013854129083642724,0.0019033581505059451,0.00062891794,0.001305896334185488
IL_fp_1283,0.0016033720179825764,0.0011516420149609101,0.0011557847,0.0013035995786011018
Cargo_type__FLuc,0.0009157145201739116,0.0012102099610476606,0.0017747342,0.001300219572196747
IL_fp_972,0.0014142184087304703,0.001315951528731663,0.0011563376,0.0012955024988951028
IL_fp_1343,0.001313083212554609,0.0015200485749906128,0.0009684193,0.0012671836979970296
IL_fp_259,0.0008884627442504841,0.002587078432298982,0.0003204504,0.0012653305264485781
IL_fp_852,0.0003994540311569978,0.0017739027493122723,0.001622008,0.0012651216079368696
IL_fp_591,0.0021183283842388435,0.0008374296564004524,0.00083914003,0.001264966024662897
